restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number
One White Street,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/one-white-street," New York, NY, USA",$$$$,Contemporary,,"Reserve a table | One White Street | New York, NY, USA | $$$$ · Contemporary",1
Crown Shy,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/crown-shy," New York, NY, USA",$$$,Contemporary,1 star,"Reserve a table | Crown Shy | New York, NY, USA | $$$ · Contemporary",1
Maison Passerelle,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/maison-passerelle," New York, NY, USA",$$$$,French,,"Reserve a table | Maison Passerelle | New York, NY, USA | $$$$ · French",1
Eulalie,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eulalie," New York, NY, USA",$$$,French,,"Eulalie | New York, NY, USA | $$$ · French",1
Cha Kee,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cha-kee," New York, NY, USA",$$,Asian,,"Cha Kee | New York, NY, USA | $$ · Asian",1
Saga,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/saga," New York, NY, USA",$$$$,Contemporary,2 star,"Reserve a table | Saga | New York, NY, USA | $$$$ · Contemporary",1
Lei,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/lei," New York, NY, USA",$$,Chinese,,"Lei | New York, NY, USA | $$ · Chinese",1
Bridges,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bridges-1216261," New York, NY, USA",$$$,Contemporary,1 star,"Bridges | New York, NY, USA | $$$ · Contemporary",1
Dim Sum Go Go,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dim-sum-go-go," New York, NY, USA",$$,Chinese,bib,"Dim Sum Go Go | New York, NY, USA | $$ · Chinese",1
Carne Mare,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carne-mare," New York, NY, USA",$$$$,Steakhouse,,"Reserve a table | Carne Mare | New York, NY, USA | $$$$ · Steakhouse",1
Yamada,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yamada," New York, NY, USA",$$$$,Japanese,1 star,"Yamada | New York, NY, USA | $$$$ · Japanese",1
La Mercerie,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/la-mercerie," New York, NY, USA",$$$$,French,,"La Mercerie | New York, NY, USA | $$$$ · French",1
Le Coucou,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou," New York, NY, USA",$$$$,French | 11 Howard,1 star,"Reserve a table | Le Coucou | New York, NY, USA | $$$$ · French | 11 Howard",1
Muku,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/muku," New York, NY, USA",$$$$,Japanese,1 star,"Reserve a table | Muku | New York, NY, USA | $$$$ · Japanese",1
L’abeille à Côté,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-abeille-a-cote," New York, NY, USA",$$$$,French,,"Reserve a table | L’abeille à Côté | New York, NY, USA | $$$$ · French",1
L’Abeille,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l%E2%80%99abeille," New York, NY, USA",$$$$,French,1 star,"Reserve a table | L’Abeille | New York, NY, USA | $$$$ · French",1
Nyonya,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nyonya," New York, NY, USA",$,Malaysian,bib,"Nyonya | New York, NY, USA | $ · Malaysian",1
Corima,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/corima," New York, NY, USA",$$$$,Mexican,1 star,"Reserve a table | Corima | New York, NY, USA | $$$$ · Mexican",1
Shabushabu Mayumon,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/shabushabu-mayumon," New York, NY, USA",$$$$,Japanese,,"Shabushabu Mayumon | New York, NY, USA | $$$$ · Japanese",1
Thai Diner,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/thai-diner," New York, NY, USA",$$,Thai,bib,"Reserve a table | Thai Diner | New York, NY, USA | $$ · Thai",1
Cervo’s,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cervo-s," New York, NY, USA",$$$,Spanish,bib,"Reserve a table | Cervo’s | New York, NY, USA | $$$ · Spanish",1
Wayan,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/wayan," New York, NY, USA",$$$,Indonesian,,"Reserve a table | Wayan | New York, NY, USA | $$$ · Indonesian",1
Potluck Club,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/potluck-club," New York, NY, USA",$$,Chinese,bib,"Potluck Club | New York, NY, USA | $$ · Chinese",1
Altro Paradiso,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-altro-paradiso," New York, NY, USA",$$$,Italian,,"Reserve a table | Altro Paradiso | New York, NY, USA | $$$ · Italian",1
Ma•dé,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ma%E2%80%A2de," New York, NY, USA",$$$,South East Asian,,"Reserve a table | Ma•dé | New York, NY, USA | $$$ · South East Asian",1
Comal,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/comal-1242778," New York, NY, USA",$$$,Mexican,,"Comal | New York, NY, USA | $$$ · Mexican",1
Tolo,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tolo," New York, NY, USA",$$,Chinese,bib,"Reserve a table | Tolo | New York, NY, USA | $$ · Chinese",1
Dirt Candy,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dirt-candy," New York, NY, USA",$$$$,Vegetarian,1 star,"Reserve a table | Dirt Candy | New York, NY, USA | $$$$ · Vegetarian",1
The River Café,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/the-river-cafe," Brooklyn, NY, USA",$$$$,Contemporary,,"Reserve a table | The River Café | Brooklyn, NY, USA | $$$$ · Contemporary",1
Raoul's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/raoul-s," New York, NY, USA",$$$$,French,,"Reserve a table | Raoul's | New York, NY, USA | $$$$ · French",1
Pinch Chinese,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/pinch-chinese," New York, NY, USA",$$,Chinese,bib,"Reserve a table | Pinch Chinese | New York, NY, USA | $$ · Chinese",1
César,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cesar," New York, NY, USA",$$$$,Contemporary,2 star,"Reserve a table | César | New York, NY, USA | $$$$ · Contemporary",1
Sushi Ikumi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ikumi," New York, NY, USA",$$$$,Japanese,,"Sushi Ikumi | New York, NY, USA | $$$$ · Japanese",1
Torrisi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/torrisi," New York, NY, USA",$$$$,Contemporary,1 star,"Reserve a table | Torrisi | New York, NY, USA | $$$$ · Contemporary",1
Forsythia,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/forsythia," New York, NY, USA",$$$$,Italian,,"Reserve a table | Forsythia | New York, NY, USA | $$$$ · Italian",1
Russ & Daughters Cafe,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/russ-daughters-cafe," New York, NY, USA",$$,American,bib,"Russ & Daughters Cafe | New York, NY, USA | $$ · American",1
The Musket Room,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room," New York, NY, USA",$$$$,Contemporary,,"The Musket Room | New York, NY, USA | $$$$ · Contemporary",1
King,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/king," New York, NY, USA",$$$,Mediterranean Cuisine,,"Reserve a table | King | New York, NY, USA | $$$ · Mediterranean Cuisine",1
Estela,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/estela," New York, NY, USA",$$$$,Contemporary,1 star,"Reserve a table | Estela | New York, NY, USA | $$$$ · Contemporary",1
"Yeobo, Darling",https://guide.michelin.com/us/en/california/menlo-park/restaurant/yeobo-darling," Menlo Park, CA, USA",$$$$,Korean Contemporary,,"Reserve a table | New | Yeobo, Darling | Menlo Park, CA, USA | $$$$ · Korean Contemporary",1
Corridor 109,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/corridor-109," Los Angeles, CA, USA",$$$$,Asian Contemporary,,"Reserve a table | New | Corridor 109 | Los Angeles, CA, USA | $$$$ · Asian Contemporary",1
Naides,https://guide.michelin.com/us/en/california/san-francisco/restaurant/naides," San Francisco, CA, USA",$$$$,Filipino,,"Reserve a table | New | Naides | San Francisco, CA, USA | $$$$ · Filipino",1
Little Mountain,https://guide.michelin.com/us/en/california/montecito/restaurant/little-mountain," Montecito, CA, USA",$$$,Californian,,"New | Little Mountain | Montecito, CA, USA | $$$ · Californian",1
Ballato,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/emilio-s-ballato," New York, NY, USA",$$$,"Italian-American | Reserve a table | Dhamaka | New York, NY, USA | $$ · Indian | Raf's | New York, NY, USA | $$$$ · European | Torien | New York, NY, USA | $$$$ · Japanese | Carbone | New York, NY, USA | $$$$ · Italian | Reserve a table | Lord's | New York, NY, USA | $$$ · English | 8282 | New York, NY, USA | $$ · Korean | Reserve a table | Laliko | New York, NY, USA | $$ · Central Asian | Reserve a table | Ernesto's | New York, NY, USA | $$$$ · Spanish | Reserve a table | Dame | New York, NY, USA | $$$ · Seafood | Reserve a table | C as in Charlie | New York, NY, USA | $$ · Fusion | Inga's Bar | Brooklyn, NY, USA | $$$ · American | Reserve a table | Una Pizza Napoletana | New York, NY, USA | $$ · Pizza | Reserve a table | Kabawa | New York, NY, USA | $$$$ · Caribbean | Reserve a table | Crevette | New York, NY, USA | $$$ · Seafood | Reserve a table | Sami & Susu | New York, NY, USA | $$ · Mediterranean Cuisine | MayRee | New York, NY, USA | $$ · Thai | Atla | New York, NY, USA | $$$ · Mexican | Reserve a table | Nami Nori | New York, NY, USA | $ · Japanese | Reserve a table | Yoshino | New York, NY, USA | $$$$ · Japanese | Reserve a table | Minetta Tavern | New York, NY, USA | $$$ · Steakhouse | Katz's | New York, NY, USA | $ · Deli | Bungalow | New York, NY, USA | $$$ · Indian | Reserve a table | 63 Clinton | New York, NY, USA | $$$$ · Contemporary | The Commerce Inn | New York, NY, USA | $$$ · American | Reserve a table | Sushi Nakazawa New York | New York, NY, USA | $$$$ · Japanese | Reserve a table | Ivan Ramen | New York, NY, USA | $$ · Japanese | Reserve a table | Le Gigot | New York, NY, USA | $$$ · French | Little Myanmar | New York, NY, USA | $$ · Burmese | Reserve a table | Family Meal at Blue Hill | New York, NY, USA | $$$$ · American | Reserve a table | Jeju Noodle Bar | New York, NY, USA | $$$ · Korean | Reserve a table | I Sodi | New York, NY, USA | $$$ · Italian | Reserve a table | Red Paper Clip | New York, NY, USA | $$$$ · Contemporary | Via Carota | New York, NY, USA | $$ · Italian | Secchu Yokota | New York, NY, USA | $$$$ · Japanese | Reserve a table | Loring Place | New York, NY, USA | $$$ · American | Reserve a table | Frevo | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Adda | New York, NY, USA | $$$ · Indian | Shmoné | New York, NY, USA | $$$$ · Israeli | Reserve a table | CheLi | New York, NY, USA | $$ · Chinese | Reserve a table | Ariari | New York, NY, USA | $$$ · Korean | Reserve a table | Soda Club | New York, NY, USA | $$ · Vegan | Reserve a table | Tuome | New York, NY, USA | $$$ · Fusion | Reserve a table | MáLà Project | New York, NY, USA | $$ · Chinese | Reserve a table | Nudibranch | New York, NY, USA | $$ · Contemporary | Reserve a table | Moody Tongue Sushi | New York, NY, USA | $$$$ · Sushi | Reserve a table | Pylos | New York, NY, USA | $$$ · Greek | Ruffian | New York, NY, USA | $$ · Contemporary",Michelin Star,"Ballato | New York, NY, USA | $$$ · Italian-American | Reserve a table | Dhamaka | New York, NY, USA | $$ · Indian | Raf's | New York, NY, USA | $$$$ · European | Torien | New York, NY, USA | $$$$ · Japanese | Carbone | New York, NY, USA | $$$$ · Italian | Reserve a table | Lord's | New York, NY, USA | $$$ · English | 8282 | New York, NY, USA | $$ · Korean | Reserve a table | Laliko | New York, NY, USA | $$ · Central Asian | Reserve a table | Ernesto's | New York, NY, USA | $$$$ · Spanish | Reserve a table | Dame | New York, NY, USA | $$$ · Seafood | Reserve a table | C as in Charlie | New York, NY, USA | $$ · Fusion | Inga's Bar | Brooklyn, NY, USA | $$$ · American | Reserve a table | Una Pizza Napoletana | New York, NY, USA | $$ · Pizza | Reserve a table | Kabawa | New York, NY, USA | $$$$ · Caribbean | Reserve a table | Crevette | New York, NY, USA | $$$ · Seafood | Reserve a table | Sami & Susu | New York, NY, USA | $$ · Mediterranean Cuisine | MayRee | New York, NY, USA | $$ · Thai | Atla | New York, NY, USA | $$$ · Mexican | Reserve a table | Nami Nori | New York, NY, USA | $ · Japanese | Reserve a table | Yoshino | New York, NY, USA | $$$$ · Japanese | Reserve a table | Minetta Tavern | New York, NY, USA | $$$ · Steakhouse | Katz's | New York, NY, USA | $ · Deli | Bungalow | New York, NY, USA | $$$ · Indian | Reserve a table | 63 Clinton | New York, NY, USA | $$$$ · Contemporary | The Commerce Inn | New York, NY, USA | $$$ · American | Reserve a table | Sushi Nakazawa New York | New York, NY, USA | $$$$ · Japanese | Reserve a table | Ivan Ramen | New York, NY, USA | $$ · Japanese | Reserve a table | Le Gigot | New York, NY, USA | $$$ · French | Little Myanmar | New York, NY, USA | $$ · Burmese | Reserve a table | Family Meal at Blue Hill | New York, NY, USA | $$$$ · American | Reserve a table | Jeju Noodle Bar | New York, NY, USA | $$$ · Korean | Reserve a table | I Sodi | New York, NY, USA | $$$ · Italian | Reserve a table | Red Paper Clip | New York, NY, USA | $$$$ · Contemporary | Via Carota | New York, NY, USA | $$ · Italian | Secchu Yokota | New York, NY, USA | $$$$ · Japanese | Reserve a table | Loring Place | New York, NY, USA | $$$ · American | Reserve a table | Frevo | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Adda | New York, NY, USA | $$$ · Indian | Shmoné | New York, NY, USA | $$$$ · Israeli | Reserve a table | CheLi | New York, NY, USA | $$ · Chinese | Reserve a table | Ariari | New York, NY, USA | $$$ · Korean | Reserve a table | Soda Club | New York, NY, USA | $$ · Vegan | Reserve a table | Tuome | New York, NY, USA | $$$ · Fusion | Reserve a table | MáLà Project | New York, NY, USA | $$ · Chinese | Reserve a table | Nudibranch | New York, NY, USA | $$ · Contemporary | Reserve a table | Moody Tongue Sushi | New York, NY, USA | $$$$ · Sushi | Reserve a table | Pylos | New York, NY, USA | $$$ · Greek | Ruffian | New York, NY, USA | $$ · Contemporary",2
Ballato,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/emilio-s-ballato," New York, NY, USA",$$$,Italian-American,,"Ballato | New York, NY, USA | $$$ · Italian-American",2
Dhamaka,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dhamaka," New York, NY, USA",$$,Indian,bib,"Reserve a table | Dhamaka | New York, NY, USA | $$ · Indian",2
Raf's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/raf-s," New York, NY, USA",$$$$,European,,"Raf's | New York, NY, USA | $$$$ · European",2
Torien,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/torien," New York, NY, USA",$$$$,Japanese,1 star,"Torien | New York, NY, USA | $$$$ · Japanese",2
Carbone,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone," New York, NY, USA",$$$$,Italian,,"Carbone | New York, NY, USA | $$$$ · Italian",2
Lord's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/lord-s," New York, NY, USA",$$$,English,,"Reserve a table | Lord's | New York, NY, USA | $$$ · English",2
8282,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/8282," New York, NY, USA",$$,Korean,bib,"8282 | New York, NY, USA | $$ · Korean",2
Laliko,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/laliko," New York, NY, USA",$$,Central Asian,bib,"Reserve a table | Laliko | New York, NY, USA | $$ · Central Asian",2
Ernesto's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ernesto-s," New York, NY, USA",$$$$,Spanish,,"Reserve a table | Ernesto's | New York, NY, USA | $$$$ · Spanish",2
Dame,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dame," New York, NY, USA",$$$,Seafood,,"Reserve a table | Dame | New York, NY, USA | $$$ · Seafood",2
C as in Charlie,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/c-as-in-charlie," New York, NY, USA",$$,Fusion,bib,"Reserve a table | C as in Charlie | New York, NY, USA | $$ · Fusion",2
Inga's Bar,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/inga-s-bar," Brooklyn, NY, USA",$$$,American,,"Inga's Bar | Brooklyn, NY, USA | $$$ · American",2
Una Pizza Napoletana,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/una-pizza-napoletana," New York, NY, USA",$$,Pizza,bib,"Reserve a table | Una Pizza Napoletana | New York, NY, USA | $$ · Pizza",2
Kabawa,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kabawa," New York, NY, USA",$$$$,Caribbean,,"Reserve a table | Kabawa | New York, NY, USA | $$$$ · Caribbean",2
Crevette,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/crevette," New York, NY, USA",$$$,Seafood,,"Reserve a table | Crevette | New York, NY, USA | $$$ · Seafood",2
Sami & Susu,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sami-susu," New York, NY, USA",$$,Mediterranean Cuisine,bib,"Reserve a table | Sami & Susu | New York, NY, USA | $$ · Mediterranean Cuisine",2
MayRee,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/mayree," New York, NY, USA",$$,Thai,,"MayRee | New York, NY, USA | $$ · Thai",2
Atla,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atla," New York, NY, USA",$$$,Mexican,bib,"Atla | New York, NY, USA | $$$ · Mexican",2
Nami Nori,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nami-nori," New York, NY, USA",$,Japanese,bib,"Reserve a table | Nami Nori | New York, NY, USA | $ · Japanese",2
Yoshino,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yoshino-1185037," New York, NY, USA",$$$$,Japanese,1 star,"Reserve a table | Yoshino | New York, NY, USA | $$$$ · Japanese",2
Minetta Tavern,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/minetta-tavern," New York, NY, USA",$$$,Steakhouse,,"Reserve a table | Minetta Tavern | New York, NY, USA | $$$ · Steakhouse",2
Katz's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/katz-s," New York, NY, USA",$,Deli,bib,"Katz's | New York, NY, USA | $ · Deli",2
Bungalow,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bungalow," New York, NY, USA",$$$,Indian,bib,"Bungalow | New York, NY, USA | $$$ · Indian",2
63 Clinton,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/63-clinton," New York, NY, USA",$$$$,Contemporary,1 star,"Reserve a table | 63 Clinton | New York, NY, USA | $$$$ · Contemporary",2
The Commerce Inn,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-commerce-inn," New York, NY, USA",$$$,American,,"The Commerce Inn | New York, NY, USA | $$$ · American",2
Sushi Nakazawa New York,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-nakazawa," New York, NY, USA",$$$$,Japanese,1 star,"Reserve a table | Sushi Nakazawa New York | New York, NY, USA | $$$$ · Japanese",2
Ivan Ramen,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ivan-ramen," New York, NY, USA",$$,Japanese,,"Reserve a table | Ivan Ramen | New York, NY, USA | $$ · Japanese",2
Le Gigot,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-gigot," New York, NY, USA",$$$,French,,"Reserve a table | Le Gigot | New York, NY, USA | $$$ · French",2
Little Myanmar,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/little-myanmar," New York, NY, USA",$$,Burmese,bib,"Little Myanmar | New York, NY, USA | $$ · Burmese",2
Family Meal at Blue Hill,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill," New York, NY, USA",$$$$,American,1 star,"Reserve a table | Family Meal at Blue Hill | New York, NY, USA | $$$$ · American",2
